#Condensed Collection Plate,Condensed Collection Row,Condensed Collection Column,Condensed Collection Well,Condensed Collection Plate Row,Condensed Collection Plate ColumnProgenitor Collection Plate,Progenitor Collection Row,Progenitor Collection Column,Progenitor Collection Well,Condensation Type,Desired Transposon Coordinate,Desired Feature,Desired Locus Tag
1,A,1,A01,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,B,1,B01,PR01,PC01,1,A,1,A01,Rearray,2292305,SO_2180,SO_2180
1,C,1,C01,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,D,1,D01,PR01,PC01,1,B,1,B01,Rearray,4493618,hemY,SO_4316
1,E,1,E01,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,F,1,F01,PR01,PC01,1,H,10,H10,Rearray,2892791,SO_2768,SO_2768
1,G,1,G01,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,H,1,H01,PR01,PC01,1,H,12,H12,Rearray,3165771,SO_3052,SO_3052
1,A,2,A02,PR01,PC01,1,D,2,D02,Rearray,3828101,hmuD,SO_3675
1,B,2,B02,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,C,2,C02,PR01,PC01,1,E,2,E02,Rearray,2661213,adaA,SO_2532
1,D,2,D02,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,E,2,E02,PR01,PC01,1,A,7,A07,Rearray,570533,SO_0547,SO_0547
1,F,2,F02,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,G,2,G02,PR01,PC01,1,B,7,B07,Rearray,4349756,mxdD,SO_4177
1,H,2,H02,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,A,3,A03,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,B,3,B03,PR01,PC01,1,B,8,B08,Rearray,880052,attE,SO_0857
1,C,3,C03,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,D,3,D03,PR01,PC01,1,E,8,E08,Rearray,4606388,SO_4412,SO_4412
1,E,3,E03,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,F,3,F03,PR01,PC01,10,G,1,G01,Rearray,2838743,SO_2720,SO_2720
1,G,3,G03,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,H,3,H03,PR01,PC01,10,C,12,C12,Rearray,940467,SO_0914,SO_0914
1,A,4,A04,PR01,PC01,10,C,2,C02,Rearray,510741,nosF,SO_0487
1,B,4,B04,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,C,4,C04,PR01,PC01,10,G,2,G02,Rearray,2930899,SO_2808,SO_2808
1,D,4,D04,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,E,4,E04,PR01,PC01,10,E,8,E08,Rearray,3546376,SO_3408,SO_3408
1,F,4,F04,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,G,4,G04,PR01,PC01,100,E,1,E01,Rearray,2384242,rimK,SO_2270
1,H,4,H04,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,A,5,A05,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,B,5,B05,PR01,PC01,100,E,2,E02,Rearray,4221989,SO_4068,SO_4068
1,C,5,C05,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,D,5,D05,PR01,PC01,100,H,2,H02,Rearray,97053,SO_0086,SO_0086
1,E,5,E05,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,F,5,F05,PR01,PC01,100,C,3,C03,Rearray,3783327,SO_3623,SO_3623
1,G,5,G05,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,H,5,H05,PR01,PC01,100,E,4,E04,Rearray,3600281,relA,SO_3455
1,A,6,A06,PR01,PC01,100,A,7,A07,Rearray,267947,ccmG,SO_0267
1,B,6,B06,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,C,6,C06,PR01,PC01,100,G,7,G07,Rearray,4439512,rflA,SO_4263
1,D,6,D06,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
1,E,6,E06,PR01,PC01,100,F,8,F08,Rearray,1583555,SO_1508,SO_1508
1,F,6,F06,PR01,PC01,NA,NA,NA,NA,NA,-1,BLANK,BLANK
